Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
EE DALILA CERQUEIRA PESSOA,MG,SANTA MARGARIDA,Estadual,Médio Baixo,491.56,447.88
EE GOVERNADOR JUSCELINO KUBITSCHEK,MG,JUIZ DE FORA,Estadual,Médio Alto,491.56,462.79
DOM PEDRO I,SP,SAO PAULO,Estadual,Médio Alto,491.54,469.71
CE GERAQUE COLLET,RJ,SAO FIDELIS,Estadual,Médio,491.54,432.86
WALFREDO S CORREA C E EF M,PR,ARAPONGAS,Estadual,Médio Alto,491.52,470.00
LEONOR MENDES DE BARROS,SP,BARUERI,Estadual,Médio Alto,491.52,456.34
JOSE AUGUSTO DE OLIVEIRA PROFESSOR,SP,OURINHOS,Estadual,Médio Alto,491.51,490.62
EE NAIR MENDES MOREIRA,MG,CONTAGEM,Estadual,Médio Alto,491.50,475.79
ESC EST ENS MEDIO PROFESSOR CANDIDO DE BARROS,RS,SANTO ANTONIO DA PATRULHA,Estadual,Médio Alto,491.49,470.53
EEEM JOAO ALFREDO,RS,RIOZINHO,Estadual,Médio Alto,491.47,443.45
EE PADRE JULIO MARIA,MG,ALTO JEQUITIBA,Estadual,Médio,491.46,422.00
MARIA CANDIDA DE JESUS C E EF M,PR,MOREIRA SALES,Estadual,Médio,491.44,516.36
COLEGIO CASIMIRO DE ABREU,RJ,DUQUE DE CAXIAS,Privada,Médio Alto,491.44,504.00
EE PASCOAL MOREIRA CABRAL,MT,CUIABA,Estadual,Médio Alto,491.42,468.70
ESC EST DE ENS MEDIO VERA CRUZ,RS,CRUZALTENSE,Estadual,Médio,491.42,468.89
UNID ESC JOMASIO DOS SANTOS BARROS,PI,BOCAINA,Estadual,Médio Baixo,491.41,442.96
EEB CEL CID GONZAGA,SC,PORTO UNIAO,Estadual,Alto,491.41,481.24
COLEGIO SANTO AGOSTINHO,PE,CABO DE SANTO AGOSTINHO,Privada,Sem informação,491.41,473.71
EE PROFª MARIA RITA DE CASSIA PONTES TEIXEIRA,MS,CAMPO GRANDE,Estadual,Médio Alto,491.40,481.22
EEEM ACORIANOS,RS,VIAMAO,Estadual,Médio Alto,491.40,478.29
ESCOLA ESTADUAL DE ENSINO MEDIO PROFESSOR ALBANO ALVES PEREIRA,RS,PALMARES DO SUL,Estadual,Médio Alto,491.40,481.74
CE DE MAGE,RJ,MAGE,Estadual,Médio,491.39,485.11
COLEGIO MENINO JESUS,PB,TEIXEIRA,Privada,Sem informação,491.38,518.33
EE AMERICO LOPES,MG,EUGENOPOLIS,Estadual,Médio,491.38,449.00
EE PROFª BRASILINA FERRAZ MANTERO,MS,CAMPO GRANDE,Estadual,Médio,491.38,445.22
EEB SAO JOAO,SC,AGROLANDIA,Estadual,Alto,491.38,388.00
EE - COLEGIO ESTADUAL DOUTOR JOAO PEDRO DOS SANTOS,BA,SALVADOR,Estadual,Médio,491.37,491.70
EE ANTONIO BATISTA DA MOTA,MG,NANUQUE,Estadual,Médio,491.36,473.33
CENTRO DE ENSINO MEDIO PAULO FREIRE,TO,ARAGUAINA,Estadual,Médio,491.36,490.58
EE PROF SILVIO OLIVEIRA DOS SANTOS,MS,CAMPO GRANDE,Estadual,Médio,491.35,456.26
EE DOUTOR CARLOS ALBUQUERQUE,MG,MONTES CLAROS,Estadual,Médio,491.34,433.97
GILDO A SCHUCK C E PROF EM N,PR,LARANJEIRAS DO SUL,Estadual,Médio,491.34,471.36
EE - COLEGIO ESTADUAL NECY NOVAES,BA,SAO DOMINGOS,Estadual,Médio,491.34,426.90
EEB PROF MARIA AMIN GHANEM,SC,JOINVILLE,Estadual,Alto,491.33,486.15
EEEFM GOV ARAUJO LIMA,RO,PORTO VELHO,Estadual,Médio Alto,491.33,420.65
EE PADRE DIONISIO HOMEM DE FARIA,MG,BOM JESUS DO GALHO,Estadual,Médio,491.32,458.08
COLEGIO ESTADUAL ANGELO URZEDA,GO,MAIRIPOTABA,Estadual,Médio,491.31,397.65
COLEGIO ESTADUAL CORA CORALINA,GO,GOIANIA,Estadual,Médio Alto,491.31,488.13
CIEP 152 GARRINCHA ALEGRIA DO POVO,RJ,PARACAMBI,Estadual,Médio,491.30,458.78
BARBOSA FERRAZ C E EF M,PR,ANDIRA,Estadual,Médio Alto,491.29,462.67
COLEGIO ESTADUAL ZECA BATISTA,GO,ANAPOLIS,Estadual,Médio Alto,491.29,331.67
COLEGIO ESTADUAL DONA TORINHA,GO,LUZIANIA,Estadual,Médio Alto,491.29,401.90
FERNANDO MAGALHAES PROFESSOR,SP,CACONDE,Estadual,Médio Alto,491.29,459.22
CANDIDO DE ABREU C E DR EM N,PR,CANDIDO DE ABREU,Estadual,Médio,491.27,474.57
CIEP 285 LUIZ JOSE DAFLON GOMES,RJ,SAPUCAIA,Estadual,Médio Alto,491.27,538.22
CENTRO PROFIS DEP ANTONIO CABRAL,PB,JOAO PESSOA,Estadual,Médio,491.26,473.39
COLEGIO EXITO,GO,NIQUELANDIA,Privada,Alto,491.26,469.23
EE DR FERNANDO CORREA DA COSTA,MS,AMAMBAI,Estadual,Médio Alto,491.25,459.11
JACQUES FELIX,SP,TAUBATE,Estadual,Médio Alto,491.25,464.63
EE DOUTOR ELOY WERNER,MG,MANHUACU,Estadual,Médio,491.25,493.58
MARIA ROSA NUCCI PACIFICO HOMEM PROFESSORA,SP,ARARAS,Estadual,Médio Alto,491.23,468.14
ISIDORO BAPTISTA,SP,PARAGUACU PAULISTA,Estadual,Médio Alto,491.20,490.00
ESCOLA DE REFERENCIA EM ENSINO MEDIO DR ALEXANDRINO DA ROCHA,PE,BONITO,Estadual,Médio Baixo,491.18,457.88
CENTRO EDUCACIONAL SAO FRANCISCO DE ASSIS,MA,PACO DO LUMIAR,Privada,Médio Alto,491.15,502.35
COLEGIO MARISTA E MUNICIPAL SAO JOSE,SC,SAO JOSE,Privada,Alto,491.15,495.61
EE TANCREDO NEVES,MG,ALMENARA,Estadual,Médio,491.15,453.41
CEMA - CENTRO EDUCACIONAL MARIA AUXILIADORA,MT,CUIABA,Privada,Médio Alto,491.14,491.00
JUDITH SANT ANA DIEGUES PROFESSORA,SP,ILHA COMPRIDA,Estadual,Médio,491.12,477.67
JOSE LINS DO REGO,SP,SAO PAULO,Estadual,Médio Alto,491.12,489.68
CEMO JUNIOR CENTRO DE ESTUD MODERNOS,PB,SAO BENTO,Privada,Médio,491.12,529.23
EE - COLEGIO MODELO LUIS EDUARDO MAGALHAES,BA,CAMACARI,Estadual,Médio,491.12,468.26
EE BOM SUCESSO,MG,CARNEIRINHO,Estadual,Médio Alto,491.11,367.74
CE JANUARIO DE TOLEDO PIZZA,RJ,SAO SEBASTIAO DO ALTO,Estadual,Médio,491.11,420.67
EE - CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL DO EXTREMO SUL,BA,TEIXEIRA DE FREITAS,Estadual,Médio,491.11,503.40
EEEM MANOEL DUARTE DA CUNHA,ES,PEDRO CANARIO,Estadual,Médio,491.10,472.08
COLEGIO IMACULADA CONCEICAO,PE,MORENO,Privada,Médio Alto,491.10,452.73
ANTONIO MARIN,SP,ORINDIUVA,Estadual,Médio Alto,491.10,402.16
COLEGIO CURSO DALTRO NETTO,RJ,RIO DE JANEIRO,Privada,Alto,491.09,466.67
IE RANGEL PESTANA,RJ,NOVA IGUACU,Estadual,Médio,491.08,515.37
ALZIRO BARBOSA NASCIMENTO PROFESSOR,SP,RIO GRANDE DA SERRA,Estadual,Médio Alto,491.07,490.00
THEODORICO DE OLIVEIRA PROFESSOR,SP,CAMPOS NOVOS PAULISTA,Estadual,Médio,491.07,454.81
INSTITUTO MARIA DO CARMO,RN,MOSSORO,Privada,Médio Alto,491.06,550.77
OZILDE ALBUQUERQUE PASSARELLA DR,SP,MAIRIPORA,Estadual,Médio Alto,491.05,445.26
RAUL FONSECA,SP,SAO PAULO,Estadual,Alto,491.05,472.26
COLEGIO GONCALVES LEDO,GO,GOIANIA,Privada,Médio Alto,491.05,474.12
ORACINA CORREA DE MORAES RODINE PROFA,SP,MARILIA,Estadual,Médio Alto,491.05,456.92
EE PROFESSORA MARIA LEONOR NASSER,MG,JACUI,Estadual,Médio,491.05,474.88
ATTILIA PRADO MARGARIDO,SP,SAO CARLOS,Estadual,Médio Alto,491.05,497.28
IEE VISCONDE DE TAUNAY,RS,IRAI,Estadual,Médio Alto,491.04,425.42
MAUD SA DE MIRANDA MONTEIRO PROFESSORA,SP,SAO PAULO,Estadual,Médio Alto,491.04,482.98
ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE OSMAR NOVAES,PE,PAULISTA,Estadual,Médio,491.03,469.30
ARNALDO BUSATO C E EF M N PROFIS,PR,CORONEL VIVIDA,Estadual,Médio Alto,491.02,486.21
EE RAMIRO DE SOUZA ANDRADE,MG,INGAI,Estadual,Médio,491.00,436.43
MASSAKO OSAWA HIRABAYASHI PROFESSORA,SP,REGISTRO,Estadual,Médio Alto,491.00,466.83
JUSTINA DE OLIVEIRA GONCALVES PROFESSORA,SP,OURINHOS,Estadual,Médio Alto,490.99,455.17
EE ADALGISA DE PAULA DUQUE,MG,LIMA DUARTE,Estadual,Médio,490.98,445.82
EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM LOGISTICA E TRANSPORTE LUIZ PINTO DE CARVALHO,BA,SALVADOR,Estadual,Médio,490.97,473.50
INSTITUTO RACKEL DE MENEZES,PE,PAULISTA,Privada,Médio,490.97,460.00
EEEM - DR SILVA MELLO,ES,GUARAPARI,Estadual,Médio,490.97,473.38
ESCOLA TRES MARIAS,PE,FLORESTA,Estadual,Médio Baixo,490.96,485.00
EEB PE LUX,SC,BRUSQUE,Estadual,Alto,490.96,456.67
VIDA VIVA CENTRO EDUCACIONAL,CE,FORTALEZA,Privada,Médio,490.95,500.00
AFFONSO DE CARVALHO DESEMBARGADOR,SP,SANTO ANTONIO DO PINHAL,Estadual,Médio,490.95,502.22
INSTITUTO SANTA TEREZINHA,PE,RECIFE,Privada,Sem informação,490.95,511.67
MANUEL CABRAL,SP,TREMEMBE,Estadual,Médio Alto,490.93,455.74
COLEGIO JUSSARA FERREIRA,PE,OLINDA,Privada,Alto,490.93,480.00
COLEGIO ESTADUAL DO SETOR SUDOESTE,GO,GOIANIA,Estadual,Médio Alto,490.89,459.17
ESCOLA ESTADUAL DE ENSINO MEDIO PONCHE VERDE,RS,SERTAO,Estadual,Médio Alto,490.84,482.33
OTAVIANO SOARES ALBUQUERQUE,SP,PEDRO DE TOLEDO,Estadual,Médio,490.84,495.32
IRMAO URBANO GONZALEZ RODRIGUEZ EEFM,CE,FORTALEZA,Estadual,Médio,490.84,484.48
ALEXANDRE GRIGOLLI PADRE,SP,SAO CAETANO DO SUL,Estadual,Alto,490.83,468.86
CE PROFESSOR ARAGAO GOMES,RJ,MENDES,Estadual,Médio,490.82,466.09
EE MONSENHOR DOMINGOS,MG,DIVINOPOLIS,Estadual,Médio Alto,490.82,489.06
EEEB DR MAURICIO CARDOSO,RS,DOUTOR MAURICIO CARDOSO,Estadual,Médio Alto,490.80,494.19
JULIO MOREIRA C E C PROF EF M,PR,PINHAO,Estadual,Médio,490.80,448.57
ESC EST ENSINO MEDIO FRANCISCO ARGENTA,RS,LAGOA VERMELHA,Estadual,Médio Alto,490.78,501.50
APLICACAO COLEGIO E CURSO,PE,ESCADA,Privada,Médio Alto,490.78,488.97
INSTITUTO ESTADUAL MARECHAL RONDON,RS,BUTIA,Estadual,Médio Alto,490.78,456.82
EE ARACILDA CICERO CORREA DA COSTA,MS,PARANAIBA,Estadual,Médio,490.77,465.06
BENTO M DA ROCHA NETO C E EF M,PR,COLOMBO,Estadual,Médio Alto,490.77,485.00
COLEGIO E CURSO VEJA,PE,ABREU E LIMA,Privada,Médio Alto,490.77,465.45
AMADOR E CATHARINA SAPORITO AUGUSTO,SP,SAO PAULO,Estadual,Médio Alto,490.77,487.50
COLEGIO ESTADUAL SENADOR ONOFRE QUINAN,GO,ANAPOLIS,Estadual,Médio,490.76,435.54
EE CORONEL JUCA PINTO,MG,BELO HORIZONTE,Estadual,Médio Alto,490.76,476.00
COLEGIO ESTADUAL DEPUTADO MANOEL MENDONCA,GO,HIDROLANDIA,Estadual,Médio,490.76,443.10
ESC EST ENS MED PEDRO ROSA,RS,TABAI,Estadual,Médio Alto,490.75,446.36
CE LIA MARCIA GONCALVES PANARO,RJ,DUQUE DE CAXIAS,Estadual,Médio Alto,490.75,483.30
EE MANOEL SOARES CAMPOS,MT,CLAUDIA,Estadual,Médio,490.74,444.07
AYRTON SENNA DA SILVA C E EF M,PR,FOZ DO IGUACU,Estadual,Médio Alto,490.74,465.40
JOSE MARCONDES SOBRINHO C E EF M,PR,LARANJEIRAS DO SUL,Estadual,Médio,490.72,442.14
EEB CRUZ E SOUSA,SC,TIJUCAS,Estadual,Médio Alto,490.71,497.05
JOSE JULIANO NETO PROFESSOR,SP,SAO CARLOS,Estadual,Alto,490.70,494.22
EEEFM - MONSENHOR ELIAS TOMASI,ES,MIMOSO DO SUL,Estadual,Médio,490.70,499.35
CE OLGA BENARIO PRESTES,RJ,RIO DE JANEIRO,Estadual,Médio Alto,490.69,483.25
EE JOSE ALEXANDRE MIZIARA,MG,CONCEICAO DAS ALAGOAS,Estadual,Médio,490.69,446.26
EEM ALMIRANTE LAMEGO,SC,LAGUNA,Estadual,Médio Alto,490.67,464.24
CEEP PROFESSORA ANGELINA MENDES BRAGA,PI,PEDRO II,Estadual,Baixo,490.67,473.68
EEB COSTA CARNEIRO,SC,ORLEANS,Estadual,Alto,490.66,450.53
EEB ROSINA NARDI,SC,SEARA,Estadual,Alto,490.65,454.29
INST EDUC IMACULADA CONCEICAO,RJ,RIO DE JANEIRO,Privada,Alto,490.65,522.11
ESCOLA DE REFERENCIA EM ENSINO MEDIO JORNALISTA TRAJANO CHACON,PE,RECIFE,Estadual,Médio Baixo,490.64,460.63
CE CAIO FRANCISCO DE FIGUEIREDO,RJ,MARICA,Estadual,Médio Alto,490.63,522.29
ESC EST ENS MEDIO CARDEAL LEME,RS,BARRA DO RIO AZUL,Estadual,Médio,490.63,450.67
EE VINICIUS DE MORAES,MS,NAVIRAI,Estadual,Médio,490.61,403.64
ESCOLA ANITA GARIBALDI,PE,PAULISTA,Privada,Médio,490.61,450.29
EEEM PINDORAMA,RS,PANAMBI,Estadual,Médio Alto,490.61,480.00
ORLANDO ELLERO PROFESSOR,SP,VARGEM GRANDE PAULISTA,Estadual,Médio Alto,490.58,495.81
TIRADENTES C E EF M,PR,SAO JOSE DOS PINHAIS,Estadual,Médio Alto,490.57,440.58
EEEM JOCELI CORREA,RS,JOIA,Estadual,Médio,490.57,532.73
ESC EST ENS MED DR JOAQUIM DUVAL,RS,PELOTAS,Estadual,Médio Alto,490.57,488.00
EEB PREF ARNO SIEWERDT,SC,POUSO REDONDO,Estadual,Médio Alto,490.57,430.53
EE MANOEL MACHADO FRANCO,MG,IPABA,Estadual,Médio,490.57,456.42
EE - COLEGIO POLIVALENTE DE SAO GONCALO DOS CAMPOS,BA,SAO GONCALO DOS CAMPOS,Estadual,Médio,490.56,474.24
EEEM FREI VELLOSO,RS,GRAVATAI,Estadual,Médio Alto,490.55,455.45
CE ALEXANDER GRAHAM BELL,RJ,DUQUE DE CAXIAS,Estadual,Médio,490.55,494.34
ESCOLA PINGO DE OURO,BA,SANTO AMARO,Privada,Médio Alto,490.50,550.00
ESCOLA ESTADUAL DEPUTADO VITAL DE MENDONCA,AM,ITACOATIARA,Estadual,Médio,490.50,522.13
EE DES FLORIANO CAVALCANTI ENS 1 E 2 GRAUS,RN,NATAL,Estadual,Médio,490.50,496.18
EEEFM - ASSISOLINA ASSIS ANDRADE,ES,VILA VELHA,Estadual,Médio,490.49,449.67
EE - COLEGIO ESTADUAL SENHOR DO BONFIM,BA,SALVADOR,Estadual,Médio,490.48,472.40
COLEGIO ESTADUAL DUQUE DE CAXIAS,TO,PALMAS,Estadual,Médio,490.48,464.10
CE HEITOR LIRA,RJ,RIO DE JANEIRO,Estadual,Médio Alto,490.48,505.51
EE SERRA DO SALITRE,MG,SERRA DO SALITRE,Estadual,Médio,490.47,466.13
COLEGIO SAO TOMAS DE AQUINO LTDA,PI,TERESINA,Privada,Médio Alto,490.46,553.75
CED PROF CARLOS RAMOS MOTA,DF,BRASILIA,Estadual,Médio Alto,490.45,444.62
JOAO MARIA DE BARROS C E PREF EF M,PR,CAMPINA GRANDE DO SUL,Estadual,Médio Alto,490.45,430.00
EEEM TAMANDARE,RS,PORTO VERA CRUZ,Estadual,Médio,490.43,431.43
JOAO SAMPAIO C E EF M PROFIS,PR,LONDRINA,Estadual,Médio Alto,490.42,465.00
ARMANDO GONCALVES PROFESSOR,SP,MIRACATU,Estadual,Médio,490.41,442.67
LUIZ PARIDE SINELLI PROF,SP,FRANCA,Estadual,Médio Alto,490.40,420.57
BALBINA VIANA ARRAISEEEP,CE,BREJO SANTO,Estadual,Médio Baixo,490.39,488.97
IE CARMELA DUTRA,RJ,RIO DE JANEIRO,Estadual,Médio Alto,490.38,484.76
OLIMPIO DE SOUZA C E PE EF M,PR,CURITIBA,Estadual,Alto,490.38,491.67
ESCOLA DE REFERENCIA EM ENSINO MEDIO SENADOR PAULO PESSOA GUERRA,PE,RECIFE,Estadual,Médio,490.37,478.24
CENTRO DE ENSINO MEDIO TIRADENTES,TO,PALMAS,Estadual,Médio Alto,490.36,464.54
SANTOS DUMONT C E C EF M,PR,SANTA HELENA,Estadual,Médio Alto,490.36,507.14
EE ANTONIO G BALBINO,MT,RONDONOPOLIS,Estadual,Médio Alto,490.36,433.68
JOSE CELSO DE MELLO PROF,SP,TATUI,Estadual,Médio Alto,490.35,460.00
EE - COLEGIO ESTADUAL EDVALDO BRANDAO CORREIA,BA,SALVADOR,Estadual,Médio,490.35,481.75
MARIA GONCALVES DA MOTTA,SP,PIRAJU,Estadual,Médio Alto,490.35,521.05
EEEB ANTONIO JOAO ZANDONA,RS,BARRA FUNDA,Estadual,Médio Alto,490.34,480.65
EE - COLEGIO ESTADUAL ROTARY,BA,SALVADOR,Estadual,Médio,490.34,501.04
ESCOLA DE REFERENCIA EM ENSINO MEDIO AGAMENON MAGALHAES,PE,SAO CAITANO,Estadual,Médio Baixo,490.32,493.61
MARIA RAMOS PROFESSORA,SP,SAO CARLOS,Estadual,Médio Alto,490.31,500.00
EE IRMAOS FERNANDES,MG,ITAOBIM,Estadual,Médio Baixo,490.30,482.86
EEEFM SEBASTIAO GUEDES DA SILVA,PB,TEIXEIRA,Estadual,Médio Baixo,490.29,473.33
ATENEU DO CEARA COLEGIO,CE,FORTALEZA,Privada,Médio Alto,490.28,507.00
CEM 12 DE CEILANDIA,DF,BRASILIA,Estadual,Médio,490.28,486.48
ISABEL C E PRINC EM,PR,ARARUNA,Estadual,Médio,490.28,454.16
CE PROFESSOR RENATO AZEVEDO,RJ,CABO FRIO,Estadual,Médio Alto,490.27,458.13
EEEM CEARA,RS,PORTO ALEGRE,Estadual,Alto,490.27,447.00
COLEGIO 3º MILENIO,BA,SALVADOR,Privada,Médio Alto,490.26,538.82
COOPERATIVA EDUCACIONAL ANGULO,PI,PARNAIBA,Privada,Médio,490.26,473.70
CED 01 DO RIACHO FUNDO II,DF,BRASILIA,Estadual,Médio Alto,490.26,440.54
EEB BERTINO SILVA,SC,LEOBERTO LEAL,Estadual,Médio Alto,490.25,442.00
ESC EST ENS MEDIO ANA CESAR,RS,CAMAQUA,Estadual,Médio Alto,490.25,511.11
EEEFM FREDERICO BOLDT,ES,SANTA MARIA DE JETIBA,Estadual,Médio,490.24,400.98
CE ANTONIO PECLY,RJ,CORDEIRO,Estadual,Médio Alto,490.24,470.81
EE NOSSA SENHORA DE MONTSERRAT,MG,BAEPENDI,Estadual,Médio,490.22,475.12
UNID ESC PROF PINHEIRO MACHADO,PI,TERESINA,Estadual,Médio Baixo,490.21,432.96
COLEGIO BETEL,GO,PIRES DO RIO,Privada,Médio Alto,490.21,480.00
ALFREDO CHAVES C E EF M,PR,COLOMBO,Estadual,Médio Alto,490.20,426.25
EE TITO LIVIO DE SOUZA,MG,BETIM,Estadual,Médio Alto,490.18,464.36
EEEFM TEODORA BENTES,PA,BELEM,Estadual,Médio,490.18,487.87
MARIA NIVEA COSTA PINTO FREITAS PROFA,SP,VOTUPORANGA,Estadual,Médio Alto,490.18,472.09
ESC EST EDUC BASICA PEDRO NUNES DA SILVA,RS,SAO JORGE,Estadual,Médio Alto,490.17,454.74
MARISTELA VIEIRA PROFESSORA,SP,SAO BERNARDO DO CAMPO,Estadual,Alto,490.17,461.59
EE PROFESSOR ALISSON PEREIRA GUIMARAES,MG,BELO HORIZONTE,Estadual,Médio Alto,490.16,432.34
JARDIM PRIMAVERA,SP,CERQUEIRA CESAR,Estadual,Médio Alto,490.16,422.17
EEB RAUL POMPEIA,SC,CAMPO ERE,Estadual,Médio Alto,490.16,453.81
ESCOLA MINISTRO JARBAS PASSARINHO,PE,CAMARAGIBE,Estadual,Médio,490.16,490.99
ANTONIO DE CASTRO ALVES C E EF M,PR,CAPITAO LEONIDAS MARQUES,Estadual,Médio Alto,490.15,472.65
COL ABGAR RENAULT UNID GLORIA,MG,BELO HORIZONTE,Privada,Alto,490.15,485.71
EE DOM BOSCO,MS,CORUMBA,Estadual,Médio Alto,490.15,473.33
CASTELO BRANCO C E C EF M,PR,SAO MIGUEL DO IGUACU,Estadual,Médio Alto,490.15,433.19
CARLOTA FERNANDES DE SOUZA RODINI,SP,ARARAS,Estadual,Alto,490.14,458.46
CE PADRE ROMULO ZANCHI,RS,SANTA MARIA,Estadual,Médio Alto,490.13,435.00
CE QUINZE DE NOVEMBRO,RJ,CAMPOS DOS GOYTACAZES,Estadual,Médio,490.13,444.00
EE DE GOIABEIRA,MG,GOIABEIRA,Estadual,Médio,490.13,452.31
COLEGIO ESTADUAL NOVO HORIZONTE,GO,GOIANIA,Estadual,Médio,490.12,425.39
EE CARDEAL ARCOVERDE,MG,JABOTICATUBAS,Estadual,Médio,490.11,434.44
ASSOC CASA FAMILIAR RURAL DE RIQUEZA,SC,RIQUEZA,Estadual,Sem informação,490.10,443.64
ESC EST ENS MED JOAO SIMOES LOPES NETO,RS,TURUCU,Estadual,Médio,490.09,480.00
EE RAIMUNDO PINHEIRO DA SILVA,MT,CUIABA,Estadual,Médio Alto,490.09,452.95
EEB JOAQUIM RAMOS,SC,CRICIUMA,Estadual,Alto,490.08,474.23
REUS C E PE EF M,PR,PEROLA D OESTE,Estadual,Médio,490.05,448.08
EE JOAO DOS SANTOS AMARAL,MG,BANDEIRA,Estadual,Médio Baixo,490.04,401.90
EE PADRE PICCININI,MG,PARAGUACU,Estadual,Médio,490.04,473.27
EE DOM OTHON MOTTA,MG,CONCEICAO DO RIO VERDE,Estadual,Médio,490.04,436.25
MALBA TAHAN C E EM N,PR,ALTONIA,Estadual,Médio,490.03,472.54
JOSE AYLTON FALCAO PROFESSOR,SP,PINDAMONHANGABA,Estadual,Médio Alto,490.03,510.86
ESCOLA ESTADUAL PROFESSOR ABEL FREIRE COELHO,RN,MOSSORO,Estadual,Médio,490.03,466.02
EE PRESIDENTE TANCREDO NEVES,MG,BELO HORIZONTE,Estadual,Médio Alto,490.02,464.67
9 DE JULHO,SP,DRACENA,Estadual,Alto,490.01,492.00
COLEGIO APRENDER COHATRAC CAC,MA,SAO LUIS,Privada,Médio Alto,489.99,556.67
AURELIO B DE HOLANDA C E C E F M,PR,PITANGA,Estadual,Médio,489.99,500.00
EE 13 DE MAIO,MS,SETE QUEDAS,Estadual,Médio,489.99,340.00
JARDIM CLARITO C E EF M,PR,CASCAVEL,Estadual,Médio Alto,489.99,440.00
COLEGIO ESTADUAL 13 DE MAIO,GO,ALEXANIA,Estadual,Médio,489.98,444.67
EE PROFª CLARINDA MENDES DE AQUINO,MS,CAMPO GRANDE,Estadual,Médio,489.97,483.72
COLEGIO ENCANTO UNIDADE II,RN,NATAL,Privada,Médio Alto,489.97,455.00
EE APOLONIO BOURET DE MELO,MT,PARANATINGA,Estadual,Médio,489.96,445.65
EEB FAZENDA TRIANGULO,SC,JARDINOPOLIS,Estadual,Médio,489.96,486.25
EE JOSE BONIFACIO,MG,PATROCINIO DO MURIAE,Estadual,Médio,489.96,410.00
CIEP 321 DOUTOR ULISSES GUIMARAES,RJ,RIO DE JANEIRO,Estadual,Médio Alto,489.95,478.71
EEM PROF ELADIR SKIBINSKI,SC,JOINVILLE,Estadual,Médio Alto,489.94,487.74
CED 01 DE PLANALTINA,DF,BRASILIA,Estadual,Médio Alto,489.92,472.52
ESCOLA DE REFERENCIA EM ENSINO MEDIO CONDE PEREIRA CARNEIRO,PE,SAO LOURENCO DA MATA,Estadual,Médio Baixo,489.92,488.00
EEEFM ARRUDA CAMARA,PB,POMBAL,Estadual,Médio Baixo,489.91,490.84
HEBER S VARGAS C E PROF DR EF M,PR,LONDRINA,Estadual,Médio Alto,489.91,397.65
ZEICY APPARECIDA NOGUEIRA BAPTISTA PROFESSORA,SP,TABOAO DA SERRA,Estadual,Médio Alto,489.90,490.34
ESC EST EDUCACAO BASICA CRISTO REDENTOR,RS,ALPESTRE,Estadual,Médio,489.90,452.46
CRISTAO FLORIDA COLEGIO,SP,SAO PAULO,Privada,Alto,489.90,484.17
FRANCISCO SALES DE ALMEIDA LEITE,SP,FERNANDO PRESTES,Estadual,Médio Alto,489.90,467.86
HUMBERTO DE CAMPOS C E EF M,PR,ATALAIA,Estadual,Médio Alto,489.88,453.33
EE CARLOS DE CASTRO BRASIL,MS,CORUMBA,Estadual,Médio Alto,489.88,444.90
COLEGIO ESTADUAL SERAFIM DE CARVALHO,GO,JATAI,Estadual,Médio Alto,489.87,462.04
JOAO GONCALVES BARBOSA PROFESSOR,SP,CACAPAVA,Estadual,Médio Alto,489.86,507.55
IEE PROF LIBERATO SALZANO V DA CUNHA,RS,SANT ANA DO LIVRAMENTO,Estadual,Médio Alto,489.85,461.94
VILA TUPI,SP,PRAIA GRANDE,Estadual,Médio Alto,489.85,451.48
EE PRESIDENTE TANCREDO NEVES,MG,FRUTAL,Estadual,Médio Alto,489.85,448.57
EEB ROMILDO CZEPANHIK,SC,XANXERE,Estadual,Médio Alto,489.84,492.63
EE EDUCACAO BASICA ANDRE ANTONIO MAGGI,MT,NOVO MUNDO,Estadual,Médio,489.84,452.90
NIDE ZAIM CARDOSO PROFA,SP,MAIRIPORA,Estadual,Alto,489.84,456.84
CENTRO DE ENSINO MEDIO DE GURUPI,TO,GURUPI,Estadual,Médio,489.83,470.72
E E E F M CAMPOS SALES,RO,SAO FRANCISCO DO GUAPORE,Estadual,Médio,489.83,444.04
EE DOM BOSCO,MS,DOURADOS,Estadual,Médio Alto,489.82,475.56
COLEGIO ATENAS,RJ,RIO DE JANEIRO,Privada,Médio Alto,489.81,530.00
INST EST EDUC ASSIS CHATEAUBRIAND,RS,CHARQUEADAS,Estadual,Médio Alto,489.80,473.19
LEICO AKAISHI PROFESSORA,SP,RIBEIRAO PIRES,Estadual,Médio Alto,489.80,427.62
OSMAIR PINHEIRO DA SILVA,MT,NOVA MARINGA,Estadual,Médio,489.80,430.48
EEB CECILIA VIVAN,SC,SALTO VELOSO,Estadual,Médio Alto,489.79,397.42
EE - COLEGIO ESTADUAL PROFESSOR JOSE BATISTA DA MOTA,BA,MACAUBAS,Estadual,Médio Baixo,489.79,500.00
EEB MARCOS KONDER,SC,ILHOTA,Estadual,Alto,489.78,461.74
JOSEPHA CUBAS DA SILVA PROFESSORA,SP,OURINHOS,Estadual,Médio Alto,489.78,455.86
MACARIO DE ALMEIDA CONEGO,SP,SANTO ANTONIO DA ALEGRIA,Estadual,Médio,489.78,424.74
