Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
COLEGIO MILITAR DE PORTO ALEGRE,RS,PORTO ALEGRE,Federal,Muito Alto,646.78,668.19
COL GALOIS,DF,BRASILIA,Privada,Muito Alto,646.59,696.24
IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,ES,CACHOEIRO DE ITAPEMIRIM,Federal,Alto,646.18,687.14
COL ALUB,DF,BRASILIA,Privada,Muito Alto,646.17,694.55
COLEGIO MARISTA NOSSA SENHORA DA PENHA,ES,VILA VELHA,Privada,Muito Alto,646.12,676.06
SANTA MARIA COLEGIO,SP,SAO PAULO,Privada,Muito Alto,645.98,682.18
COLEGIO BATISTA MINEIRO,MG,BELO HORIZONTE,Privada,Muito Alto,645.94,713.07
PUERI DOMUS ESCOLA EXPERIMENTAL,SP,BARUERI,Privada,Muito Alto,645.77,648.57
IFES - CAMPUS CARIACICA,ES,CARIACICA,Federal,Alto,645.59,687.12
INSTITUTO EDUCACIONAL SAO JOSE UNIDADE MOCAMBINHO,PI,TERESINA,Privada,Médio Alto,645.54,812.38
COLEGIO OLIMPO,MG,UBERLANDIA,Privada,Muito Alto,645.50,746.12
COLEGIO PROTAGORAS,GO,GOIANIA,Privada,Alto,645.50,762.81
T PARTHENON COLEGIO UNIDADE II,SP,GUARULHOS,Privada,Muito Alto,645.44,773.33
COLEGIO SANTA MARIA CONTAGEM,MG,CONTAGEM,Privada,Muito Alto,645.33,677.65
COLEGIO CAETANO,MG,SETE LAGOAS,Privada,Muito Alto,645.28,707.20
COL SANTA MARIA FLORESTA,MG,BELO HORIZONTE,Privada,Muito Alto,645.07,765.65
PUERI DOMUS ESCOLA VERBO DIVINO UNIDADE I,SP,SAO PAULO,Privada,Muito Alto,644.97,688.29
COLEGIO SAO PAULO,BA,SALVADOR,Privada,Muito Alto,644.95,693.59
CPI SISTEMA DE ENSINO,PI,TERESINA,Privada,Alto,644.95,742.00
UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO,RS,SAO LEOPOLDO,Privada,Muito Alto,644.89,683.95
NOSSA SENHORA DAS GRACAS ESCOLA,SP,SAO PAULO,Privada,Muito Alto,644.88,718.43
COLEGIO OFICINA,BA,SALVADOR,Privada,Muito Alto,644.85,720.82
ESCOLA DE APLICACAO DO RECIFE - FCAP UPE,PE,RECIFE,Estadual,Muito Alto,644.80,843.33
COLEGIO PH,RJ,RIO DE JANEIRO,Privada,Muito Alto,644.76,761.67
ELVIRA BRANDAO COLEGIO,SP,SAO PAULO,Privada,Muito Alto,644.74,690.00
INSTITUTO EDUCACIONAL PROF ALAOR LTDA,RJ,PETROPOLIS,Privada,Muito Alto,644.68,694.00
COLEGIO LOSANGO DE UBA,MG,UBA,Privada,Muito Alto,644.61,762.93
COLEGIO DE A A Z,RJ,RIO DE JANEIRO,Privada,Muito Alto,644.61,802.24
CENTRO DE EXCELENCIA MASTER,SE,ARACAJU,Privada,Muito Alto,644.53,772.21
PARQUE ECOLOGICO INSTITUTO EDUCACIONAL,SP,INDAIATUBA,Privada,Muito Alto,644.33,696.34
CENTRO EDUCACIONAL MONTESSORIANO REINO INFANTIL,MA,SAO LUIS,Privada,Muito Alto,644.33,732.56
COLEGIO PEDRO II - CAMPUS NITEROI,RJ,NITEROI,Federal,Alto,644.16,744.71
COLEGIO PH,RJ,RIO DE JANEIRO,Privada,Muito Alto,644.15,772.91
COLEGIO INTERATIVO ENSINO MEDIO,RJ,VOLTA REDONDA,Privada,Muito Alto,643.67,717.47
ESCOLA EDUCACAO CRIATIVA,MG,IPATINGA,Privada,Muito Alto,643.66,809.57
COLEGIO MARISTA SAO JOSE,RJ,RIO DE JANEIRO,Privada,Muito Alto,643.59,718.13
ITACA COLEGIO,SP,SAO PAULO,Privada,Muito Alto,643.54,681.82
